LA_code,LA_name,Age_total,total_rate,Aged_4_years,Aged_5_to_9,Aged_10_to_15,Aged_16_to_19,Aged_20_to_24,Aged_25_to_34,Aged_35_to_49,Aged_50_to_64,Aged_65_to_74,Aged_75_to_84,Aged_85_plus,good_health_rate,bad_health_rate,2km_rate,5km_to_10km_rate,20km_to_30km_rate,40km_to_60km_rate,WFH,not_deprived_rate,deprived_1,deprived_2,deprived_3,deprived_4,no_car_rate,one_car_rate,two_car_rate,three_car_rate
E06000001,Hartlepool,92334,2.71,53.97,60.45,76.76,43.45,55.34,123.24,172.69,216.64,111.89,61.57,24,431.23,60.92,63.8,34.21,19.27,3.93,71.15,421.74,335.58,184.95,55.66,2.08,58.1,79.86,44.45,14.09
E06000002,Middlesbrough,143922,2.54,62.03,68.06,78.26,47.06,70.67,143.42,176.12,186.39,94.98,52.36,20.65,466.97,55.37,55.12,63.24,9.92,4.7,65.86,421.61,338.42,179.49,58.36,2.13,58.08,70.25,36.58,10.42
E06000003,Redcar and Cleveland,136536,2.31,49.91,57.67,69.59,41.13,48.16,112.57,167.03,221.41,125.77,79.25,27.52,425.42,57.98,41.73,67.04,13.96,5.96,73.38,441.16,341.73,167.22,48.17,1.72,50.55,86.26,50.55,16.44
E06000004,Stockton-on-Tees,196594,2.23,54.59,63.22,78.45,41.79,49.28,127.44,189.19,206.9,107.05,60.15,21.93,465.32,47.77,47.89,81.4,10.61,6.14,95.67,483.5,324.59,150.64,39.69,1.58,40.55,74.33,51.3,15.32
E06000005,Darlington,107807,2.26,50.96,58.72,72.99,42.16,50.33,123.8,186.65,209.9,110.74,67.43,26.32,452.19,46.53,74.86,32.67,35.51,6.84,110.96,486.03,334.93,141.96,35.53,1.55,51.57,89.83,50.11,14.38
E06000006,Halton,128475,2.13,54.13,61.44,75.36,43.05,52.19,128.25,193.51,205.57,111.76,55.71,19.03,459.75,58.31,55.13,63.74,18.92,2.56,113.24,432.23,334.8,175.93,55.19,1.84,45.11,80.28,50.28,13.98
E06000007,Warrington,210969,2.44,50.39,58.6,72.34,41.16,49.78,125.32,199.91,212.14,101.64,66.42,22.29,500.61,39.18,47.7,58.22,28.26,2.39,154.75,519.09,320.71,127.68,31.19,1.34,32.09,76.04,58.35,17.69
E06000008,Blackburn with Darwen,154735,2.69,64.99,72.14,90.53,55.44,61.08,133.82,198.44,178.82,83.26,44.81,16.7,477.91,50.58,74.96,40.28,14.46,3.07,80.06,411.57,340.02,182.38,62.82,3.2,38.81,60.74,34.21,10.47
E06000009,Blackpool,141033,2.71,52.2,56.05,66.88,41.28,52.8,128.13,176.23,219.45,110.19,70.63,26.16,403.69,69.32,79.47,48.18,12.09,3.52,85.18,382.3,351.14,197.33,64.57,4.66,71.72,88.99,39.14,11.19
E06000010,Kingston upon Hull,267010,2.29,59.75,64.95,74.3,46.37,72.75,153.69,190.29,185,88.39,46.18,18.33,433.6,52.43,67.14,80.06,10.35,5.51,58.18,411.84,340.99,188.69,55.87,2.61,65.56,79.82,34.07,7.58
E06000011,East Riding of Yorkshire,342217,2.19,42.92,50.75,64.34,38.46,42.19,101.81,168.19,226.89,141.52,89.42,33.5,448.68,41.17,52.34,50.59,30.35,13.42,112.7,510.99,340.2,124.42,23.29,1.1,31.16,83.19,61.47,21.63
E06000012,North East Lincolnshire,156966,1.61,53.87,60.61,73.09,41.43,50.78,125.68,174.5,210.87,112.16,69.33,27.7,430.58,50.4,71.96,55.5,12.72,4.73,61.19,439.68,345.86,166.39,46.14,1.93,53.26,83.52,47.4,13.71
